"AGNO";"MRUN";"NOM_COM_ALU";"COD_GRADO";"LET_CUR";"COD_JOR";"GEN_ALU";"FEC_NAC_ALU";"EDAD_ALU";"PROM_GRAL";"ASISTENCIA"
2022;14682112;"MAIPÚ";4;"B";3;2;200504;17;56;89
2022;16863406;"PUDAHUEL";4;"B";3;2;200408;17;67;92
2022;17417921;"SANTIAGO";4;"B";3;2;200502;17;65;92
2022;17549415;"SANTIAGO";4;"B";3;2;200411;17;65;93
2022;18539305;"PEÑALOLÉN";4;"B";3;2;200504;17;58;88
2022;19389935;"LO PRADO";4;"B";3;2;200404;18;59;86
2022;19542522;"RECOLETA";4;"B";3;2;200411;17;65;90
2022;19881120;"LAMPA";4;"B";3;2;200406;18;63;70
2022;20665676;"SANTIAGO";4;"B";3;2;200503;17;65;95
2022;22527891;"SANTIAGO";4;"B";3;2;200408;17;61;92
2022;23395992;"LO PRADO";4;"B";3;2;200407;17;67;98
2022;24370894;"SANTIAGO";4;"B";3;2;200503;17;63;85
2022;26111909;"LO ESPEJO";4;"B";3;2;200411;17;61;73
2022;26270017;"SANTIAGO";4;"B";3;2;200407;17;69;99
2022;456671;"PUDAHUEL";4;"A";1;2;200403;18;54;78
2022;740903;"TALAGANTE";4;"A";1;2;200412;17;68;90
2022;2776179;"QUILICURA";4;"A";1;2;200502;17;6;92
2022;2808530;"PEDRO AGUIRRE CERDA";4;"A";1;1;200502;17;54;73
2022;4453708;"ESTACIÓN CENTRAL";4;"A";1;2;200411;17;59;80
2022;4757767;"MAIPÚ";4;"A";1;2;200407;17;6;90
2022;7802440;"SANTIAGO";4;"A";1;2;200403;18;64;87
2022;9899729;"MAIPÚ";4;"A";1;2;200408;17;55;76
2022;10930577;"QUINTA NORMAL";4;"A";1;2;200404;18;66;93
2022;12285946;"SANTIAGO";4;"A";1;2;200409;17;57;87
2022;13105206;"SANTIAGO";4;"A";1;1;200402;18;49;38
2022;13842692;"BUIN";4;"A";1;2;200408;17;53;30
2022;16942325;"CONCHALÍ";4;"A";1;2;200410;17;67;97
2022;17588774;"PUENTE ALTO";4;"A";1;2;200504;17;61;84
2022;17718708;"LA FLORIDA";4;"A";1;2;200501;17;58;76
2022;18547369;"SANTIAGO";4;"A";1;2;200406;18;63;95
2022;18794215;"ESTACIÓN CENTRAL";4;"A";1;1;200504;17;67;82
2022;22354625;"PAINE";4;"A";1;2;200407;17;57;91
2022;23688973;"SANTIAGO";4;"A";1;1;200403;18;59;79
2022;24156543;"ESTACIÓN CENTRAL";4;"A";1;2;200409;17;58;90
2022;382370;"SAN MIGUEL";4;"A";3;1;200501;17;62;86
2022;1764602;"SANTIAGO";4;"A";3;2;200411;17;65;83
2022;2398280;"SANTIAGO";4;"A";3;1;200408;17;66;81
2022;2875992;"LA REINA";4;"A";3;1;200501;17;67;92
2022;3981268;"SANTIAGO";4;"A";3;2;200502;17;68;100
2022;4406421;"SAN MIGUEL";4;"A";3;2;200504;17;66;96
2022;4410976;"MAIPÚ";4;"A";3;1;200411;17;68;94
2022;5052669;"QUILICURA";4;"A";3;2;200407;17;67;88
2022;5598954;"RENCA";4;"A";3;1;200410;17;64;86
2022;6642367;"PROVIDENCIA";4;"A";3;2;200502;17;68;85
2022;6883131;"SANTIAGO";4;"A";3;1;200501;17;69;98
2022;7605927;"SAN MIGUEL";4;"A";3;2;200502;17;64;95
2022;8737897;"SAN MIGUEL";4;"A";3;2;200411;17;65;90
2022;8782103;"PROVIDENCIA";4;"A";3;1;200501;17;66;81
2022;11023632;"MAIPÚ";4;"A";3;2;200408;17;68;98
2022;12295809;"LO PRADO";4;"A";3;2;200411;17;67;85
2022;12881772;"MAIPÚ";4;"A";3;2;200409;17;67;83
2022;13923033;"LO PRADO";4;"A";3;2;200407;17;68;97
2022;14205766;"SANTIAGO";4;"A";3;2;200412;17;66;92
2022;14411691;"HUECHURABA";4;"A";3;2;200405;18;63;80
2022;15532702;"QUILICURA";4;"A";3;2;200411;17;66;86
2022;16518203;"ESTACIÓN CENTRAL";4;"A";3;1;200406;18;67;97
2022;17442433;"SANTIAGO";4;"A";3;1;200411;17;63;91
2022;17869691;"QUILICURA";4;"A";3;2;200407;17;66;90
